DrugID;TradeNmR;InnR;PackNx;DosageR;PackQn;Pack;DrugFmNmRS;Segment;Year;Month;Series;TotDrugQn;MnfPrice;PrcPrice;RtlPrice;Funds;VendorID;Remark;SrcOrg;EAN;MaxMnfPrice;ExpiTermR;ClNm;MnfNm;PckNm;RegNr;RegDate
108;Верапамил;Верапамил;756084;40 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка покрытая пленочной оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601969002386;25.660000;3 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N001573/01;07.08.2008 00:00:00
109;Сальбутамол;Сальбутамол;757784;0.1 мг/доза;1;12 мл, 90 доз, баллон аэрозольный алюминиевый с клапаном дозирующего действия в комплекте с насадкой-распылителем /комплект: насадка-распылитель/, пачка картонная;аэрозоль для ингаляций дозированный;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4600828002697;71.650000;;Мосхимфармпрепараты им.Н.А.Семашко ОАО;Мосхимфармпрепараты им.Н.А.Семашко ОАО;Мосхимфармпрепараты им.Н.А.Семашко ОАО;ЛС-001925;29.12.2006 00:00:00
111;Эналаприл;Эналаприл;758926;10 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4640004742085;10.370000;3 года;Озон ООО;Озон ООО;Озон ООО;Р N001694/01;09.11.2007 00:00:00
113;Каптоприл;Каптоприл;763844;25 мг;20;10 шт., упаковка ячейковая контурная (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607027760151;8.100000;;Озон ООО;Озон ООО;Озон ООО;Р N001695/01;12.11.2007 00:00:00
114;Каптоприл;Каптоприл;769106;25 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602884005445;6.910000;2 года;Биосинтез ОАО;Биосинтез ОАО;Биосинтез ОАО;Р N000732/01;09.04.2008 00:00:00
117;Каптоприл-АКОС;Каптоприл;771556;25 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602565016357;7.470000;2 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N002388/01;19.11.2008 00:00:00
118;Ацикловир;Ацикловир;772188;5%;1;5 г, туба алюминиевая;мазь для наружного применения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601026300868;23.630000;3 года;Нижфарм ОАО;Нижфарм ОАО;Нижфарм ОАО;Р N002224/01;06.02.2009 00:00:00
120;Ацикловир;Ацикловир;774335;200 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607027760090;22.420000;3 года;Озон ООО;Озон ООО;Озон ООО;Р N002752/01;23.07.2008 00:00:00
121;Фамотидин-Акри;Фамотидин;775750;20 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка покрытая пленочной оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601969002140;21.860000;3 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N001957/01;11.08.2008 00:00:00
122;Фенотропил;N-карбамоилметил-4-фенил-2-пирролидон;777553;100 мг;30;10 шт., упаковка ячейковая контурная (3), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602193007406;870.130000;;Валента Фармацевтика Публичное акционерное общество (ПАО«Валента Фарм»);Валента Фармацевтика Публичное акционерное общество (ПАО«Валента Фарм»);Валента Фармацевтика Публичное акционерное общество (ПАО«Валента Фарм»);Р N002784/01;08.04.2009 00:00:00
124;Гликлазид-АКОС;Гликлазид;784057;80 мг;60;10 шт., упаковка контурная ячейковая  (6), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602565016289;115.000000;3 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N002377/01;24.11.2008 00:00:00
125;Ранитидин-АКОС;Ранитидин;786087;150 мг;20;10 шт., упаковка ячейковая контурная (2), пачка картонная;таблетка покрытая пленочной оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602565016142;12.740000;;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N002761/01;24.11.2008 00:00:00
127;Фамотидин-АКОС;Фамотидин;788544;20 мг;20;10 шт., упаковка ячейковая контурная (2), пачка картонная;таблетка покрытая пленочной оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602565016470;9.630000;;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N002986/01;09.02.2009 00:00:00
129;Ранитидин;Ранитидин;799512;150 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка покрытая пленочной оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607027760137;13.620000;3 года;Озон ООО;Озон ООО;Озон ООО;Р N002604/01;14.10.2008 00:00:00
130;Хлоргексидин;Хлоргексидин;800773;0.05%;1;100 мл, флакон полиэтиленовый с насадкой полимерной;раствор для местного и наружного применения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607006950047;9.330000;2 года;Биоген НПЦ ОУ;Биоген НПЦ ОУ;Биоген НПЦ ОУ;Р N000201/01;10.09.2008 00:00:00
131;Цефазолин-АКОС;Цефазолин;802783;500 мг;50;флакон  (50), коробка картонная;порошок для приготовления раствора для внутривенного и внутримышечного введения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602565007911;421.380000;3 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N002895/01;20.03.2009 00:00:00
132;Дексаметазон;Дексаметазон;804688;0.5 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601969004908;23.920000;4 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N002537/01;25.01.2010 00:00:00
134;Зитролид форте;Азитромицин;817099;500 мг;3;3 шт., упаковка ячейковая контурная, пачка картонная;капсула;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602193007840;220.650000;;Валента Фармацевтика ОАО;Валента Фармацевтика ОАО;Валента Фармацевтика ОАО;Р N003955/01;01.12.2009 00:00:00
135;Индапамид;Индапамид;817214;2.5 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607018260622;21.470000;3 года;Макиз-Фарма ЗАО;Макиз-Фарма ЗАО;Макиз-Фарма ЗАО;Р N002423/01;26.01.2010 00:00:00
